"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M_1",28.6352591385786,-8.76973925357039,1.78726361926571,-4.9067967137234,9.25758964103215e-07,1.72299975216859e-05
"AAMP_2",32.1816374572503,1.11442507541879,1.06854888463068,1.04293316987923,0.296979245851436,0.480836578159896
"AARS1_3",19.6034368059262,-0.321761281258059,1.06756563729016,-0.301397188162405,0.763111638211556,0.871134749715866
"AATF_4",8.98353267926758,1.7820690948593,1.48325613519144,1.20145742368987,0.22957381260251,0.399705883711958
"ABCB1_12",13.5235808615661,-3.54936635951965,1.61089454325412,-2.2033511593811,0.0275700077467087,0.0811557183694446
"ABCC2_22",10.8225220792608,-7.36755033846929,2.07509683770587,-3.55046097348137,0.000384557147105348,0.00231369029116419
"ABCC5_26",60.565441433974,0.346753569711659,0.794094840576232,0.436665184047838,0.662354182084411,0.807406284788456
"ABCE1_32",225.672284928564,-6.71499941003773,1.19347675390809,-5.62641826751061,1.83989902397742e-08,1.09369259212984e-06
"ABCF1_35",30.967926065407,-0.792685728925173,1.70771338757233,-0.464179606890618,0.642519070676481,0.793953270286786
"ABCF3_36",7.11984997001603,-0.756051386700173,2.25050550128342,-0.335947362167749,0.736910560653425,0.855088901511413
"ABCG1_37",11.5679784199711,0.400374068938055,1.28975674095678,0.310426033238676,0.756236999628075,0.866984513699741
"ABCC3_38",4.26469775523762,-0.00427491634945586,2.42443062119147,-0.00176326610961339,0.998593117923577,0.999110282519322
"ABCG2_39",55.4728715005652,-1.50660880090606,0.777763165828631,-1.93710485029324,0.0527325278564946,0.135236918314034
"ABCG2_40",12.0871176622667,-7.52306676075363,2.06141385677645,-3.64946938530716,0.000262782554172266,0.00167880164155225
"ABCG2_41",11.44470910701,1.91920695135908,1.44587767486058,1.32736467595306,0.184388078800383,0.341533393513385
"ABHD6_45",12.6148626353708,-0.108180387111898,1.20905306139,-0.089475301429308,0.928704181445072,0.964137572214377
"ABL1_46",0.845407373282597,0.66192453706359,4.85030095467742,0.136470817635606,0.891449092843527,NA
"ACADL_49",4.15382760994745,-5.98394663704467,2.65587021782896,-2.2531020517773,0.0242527151408501,0.0734270809913938
"ACAT2_56",54.1840919928619,-3.47976279049172,0.90990742714347,-3.82430419478602,0.000131141919696961,0.000933504328159758
"ACBD3_59",45.8693814605063,-0.59007793479216,0.914794462114729,-0.645038813886212,0.518902033098659,0.696883446467361
"ACD_60",3.56679864592237,-0.913217211172851,2.48112486361478,-0.368065801348819,0.712824170223791,0.839606583037677
"ACE_61",0.628716714841468,-3.27372822998816,4.90187249631718,-0.667852587444438,0.504227694654264,NA
"ACHE_63",1.63537967392011,-4.64498783850951,3.73704759433187,-1.24295656430888,0.213883839930083,NA
"ACLY_66",65.0906504824252,-0.0598330364990523,0.785831190437924,-0.0761398086855128,0.939307869294233,0.970244812430908
"ACOT9_69",17.7001798154019,-1.13026821511017,1.30713627887927,-0.864690417803454,0.387208730185651,0.577956073434026
"ACSL1_75",374.294861239254,1.59921159200013,0.618850450145927,2.58416486830224,0.00976151197703126,0.0349680418847148
"ACTB_80",698.556520567769,1.26228616090768,0.638684845482175,1.97638345396268,0.0481113640973024,0.125244796151417
"ACTBP9_82",6.57048189481558,0.0606281186385895,2.29437723452835,0.0264246514157262,0.978918632026413,0.989409030174551
"ACTN2_90",0,NA,NA,NA,NA,NA
"ACTR10_93",77.343743856652,-0.760875136990131,0.737376132835494,-1.0318684089547,0.302133766904344,0.486897083986071
"ADAM10_102",108.577841838248,0.0401275331193175,0.790603572039212,0.0507555676934474,0.959520297055351,0.980169871976117
"ADAM23_104",30.9772677208025,-8.88117883951517,1.85319537542587,-4.79235970329047,1.64831033271384e-06,2.69861926421174e-05
"ADAMTS2_106",2.4411127273822,-3.67697935800768,2.95460636193736,-1.24449043546926,0.213319117340911,0.380276497321472
"ADARB1_112",28.8858862908532,-0.582492436232915,0.965606690922258,-0.603239850871965,0.546349140514297,0.718657251010806
"ADAT1_113",30.5361793750791,-4.01952989867608,1.40637164502684,-2.85808513908097,0.00426206018947332,0.0174928278734725
"COQ8A_114",7.5763498191841,0.0977714351284789,1.50145059911632,0.0651179833595741,0.94808006217036,0.974460455472929
"ADCY8_120",3.3979351214731,-5.6959834707063,2.83392904820746,-2.00992451603867,0.0444391785708282,0.117204162567895
"ADCY9_121",0.692304601657909,-3.39863497882985,4.89227080808864,-0.694694777159661,0.487246601838232,NA
"ADH1A_126",36.2135258528081,-5.64172250235568,1.33183784122143,-4.23604310355204,2.27493125408247e-05,0.00022188943352141
"ADI1_135",62.8443779049428,0.433559032765329,0.822654757977321,0.527024281524038,0.598176726629052,0.759575140117435
"ADK_139",66.7615839233031,1.01662995294687,0.812341244322077,1.25148139412185,0.21075889769512,0.377634350561049
"ADM_140",31.0278854738152,0.957921662186171,1.01575691325209,0.943061917362935,0.345649233374935,0.535503418610043
"ADO_144",62.1024213973912,-1.88889588170658,0.831845446429854,-2.27072936422675,0.0231633662761031,0.0709968385035755
"ADORA1_145",1.32102131649938,-4.3361355915143,4.02589349762924,-1.07706167440042,0.281452713561714,NA
"ADORA2A_146",4.46212180901102,-0.132756545717248,1.84298765845098,-0.0720333340858232,0.942575379981664,0.971490277735049
"ADRA1A_148",3.27075934784022,-5.64457708215139,2.93329326973943,-1.92431392400556,0.0543152463092994,0.137507042779368
"ADRB2_151",16.1619250259256,0.61986354467582,1.13443298006336,0.546408254669392,0.584785337161269,0.748523681747734
"GRK2_152",150.452320375,0.892201259347889,0.671834814026915,1.32800688609767,0.184175832059059,0.341274126879524
