GeneID,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
A2M_1,43,40,73,63,10,0,18,28,20,23,13,10,0,0,0,0
AAMP_2,25,6,27,21,10,27,11,8,31,24,18,15,39,67,83,41
AARS1_3,19,13,17,12,23,25,26,53,3,13,9,6,31,9,32,17
AATF_4,4,2,5,4,0,1,10,12,7,5,3,5,19,8,13,26
ABCB1_12,18,18,19,10,0,0,16,7,6,8,13,8,6,0,6,0
ABCC2_22,20,12,19,10,0,0,6,4,4,7,2,0,4,0,0,0
ABCC5_26,32,44,56,40,8,5,60,24,50,30,41,19,26,33,95,95
ABCE1_32,223,406,387,331,85,78,356,381,107,162,146,119,164,6,12,0
ABCF1_35,24,32,24,15,82,14,25,49,40,11,23,17,117,7,64,0
ABCF3_36,13,1,5,3,0,11,2,1,13,3,1,0,10,21,15,0
ABCG1_37,11,4,6,7,9,31,6,12,3,3,1,1,10,26,18,19
ABCC3_38,2,4,0,1,0,0,2,0,4,1,3,4,1,6,12,0
ABCG2_39,68,52,80,70,137,31,95,113,52,30,19,17,42,13,40,41
ABCG2_40,12,22,21,14,0,0,9,14,2,5,6,7,0,0,0,0
ABCG2_41,4,3,7,1,43,1,22,30,28,11,4,1,26,0,41,10
ABHD6_45,10,9,12,7,8,25,9,1,11,4,7,6,2,5,14,20
ABL1_46,1,0,4,2,0,0,7,4,3,1,0,0,12,0,3,0
ACADL_49,6,6,5,9,0,0,6,0,2,2,1,1,0,0,0,0
ACAT2_56,50,90,74,64,23,28,66,104,23,32,42,20,49,0,15,10
ACBD3_59,42,38,55,36,38,72,59,55,36,36,26,9,43,73,75,28
ACD_60,5,2,1,2,9,0,0,12,10,3,5,1,7,7,7,0
ACE_61,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ACHE_63,4,1,2,0,4,10,0,7,1,0,0,0,4,0,0,0
ACLY_66,48,48,81,51,94,37,82,112,49,36,43,33,158,40,111,68
ACOT9_69,23,13,32,24,20,5,6,17,8,2,6,9,12,12,4,27
ACSL1_75,144,126,165,118,91,57,119,111,514,287,275,193,963,474,838,741
ACTB_80,310,286,459,280,525,1135,962,447,299,281,332,242,248,1875,1093,1668
ACTBP9_82,9,1,4,3,0,3,0,0,1,4,5,5,0,12,19,0
ACTN2_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR10_93,67,73,55,56,41,27,69,84,26,35,35,27,77,47,86,75
ADAM10_102,55,96,99,66,57,7,116,292,152,108,84,51,196,56,189,120
ADAM23_104,24,62,34,51,0,3,53,44,13,22,11,18,18,0,0,0
ADAMTS2_106,6,1,0,0,0,0,7,0,0,2,1,1,0,0,1,0
ADARB1_112,37,15,29,25,68,17,65,27,32,16,5,13,16,104,34,31
ADAT1_113,35,47,55,44,22,7,16,35,2,12,14,8,4,0,10,0
COQ8A_114,8,3,3,2,14,8,6,4,15,7,7,9,54,17,9,13
ADCY8_120,6,4,6,1,0,0,0,2,6,2,4,1,8,0,0,0
ADCY9_121,1,1,2,0,0,0,0,0,0,0,1,0,8,0,0,0
ADH1A_126,36,64,108,61,0,21,55,83,9,29,33,21,0,0,4,0
ADI1_135,37,40,51,33,71,118,172,77,31,29,37,25,98,100,70,132
ADK_139,33,31,33,38,73,74,106,146,56,23,21,20,30,76,87,163
ADM_140,25,7,15,15,16,0,12,0,63,33,35,25,97,33,50,65
ADO_144,51,87,92,72,73,17,44,78,37,40,23,32,34,10,39,35
ADORA1_145,3,1,0,4,0,7,0,0,0,1,2,1,0,0,0,0
ADORA2A_146,5,2,9,4,14,10,4,5,4,6,1,2,24,0,8,4
ADRA1A_148,8,2,1,4,0,0,4,0,1,0,0,0,0,0,0,0
ADRB2_151,13,6,8,6,0,12,3,24,27,28,16,11,45,66,27,28
GRK2_152,87,67,101,84,58,157,223,164,148,87,81,87,130,199,245,303
ADSL_153,15,12,27,7,15,0,5,14,2,10,3,3,1,0,0,14
AFAP1L2_156,16,21,20,16,16,14,6,25,11,10,7,6,9,10,5,0
AFMID_157,5,3,5,2,16,0,3,11,7,4,3,1,6,11,0,4
AFP_158,14,38,37,32,0,0,7,6,12,17,17,8,0,0,18,0
AGL_162,14,26,32,18,12,0,45,56,17,16,13,6,30,6,29,7
AGPAT2_163,3,0,2,0,0,0,6,0,12,4,8,1,16,14,28,0
GPAT3_164,2,1,2,3,0,0,0,7,2,2,2,1,3,0,0,0
AGRN_165,13,3,8,7,7,4,9,12,25,9,12,7,2,0,18,3
AGT_168,7,4,5,3,17,13,0,0,0,1,1,4,0,0,0,0
AGTR1_171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTRAP_173,10,3,8,10,18,0,27,11,44,17,19,9,73,50,53,78
AIFM1_183,2,3,7,6,52,6,13,9,7,7,6,6,6,0,15,0
AIM2_184,48,45,48,45,0,25,13,60,16,9,13,15,11,0,23,0
AKAP17A_192,44,31,59,20,67,66,126,47,60,34,34,21,49,84,88,83
AKAP8_195,39,22,41,44,38,26,83,72,72,49,55,28,52,52,147,69
AKAP8L_196,3,4,9,5,0,23,9,4,16,6,7,1,39,44,51,29
AKR1B1_197,27,33,28,32,3,6,12,34,24,10,14,16,47,5,19,8
AKR1C1_199,18,45,48,37,0,0,9,49,7,7,10,9,0,0,5,0
AKR1C3_203,24,23,31,30,0,23,52,30,19,19,30,16,48,0,41,13
AKR1D1_206,110,192,171,157,16,39,161,152,34,41,47,46,39,0,0,8
AKT1_210,10,5,9,16,27,20,22,20,30,15,18,10,30,50,31,17
AKT2_211,23,10,14,4,0,0,4,14,21,6,6,5,1,14,6,35
AKT3_212,79,118,116,94,28,23,69,157,78,60,52,46,97,7,42,9
ALB_217,5,8,2,5,0,0,0,0,2,3,0,1,0,0,0,0
ALDH18A1_218,19,13,28,15,26,14,9,37,3,2,6,4,0,0,9,30
ALDH1A1_221,54,66,90,77,55,49,43,115,21,21,27,22,15,0,14,0
ALDH2_225,26,29,30,22,20,88,119,21,63,30,43,45,23,187,117,127
ALDH4A1_226,2,1,5,1,0,9,1,0,5,7,0,1,0,14,0,0
ALDH7A1_227,13,7,3,2,0,0,0,6,1,1,5,1,0,0,0,0
ALDH9A1_231,115,134,125,132,36,32,115,124,65,62,68,41,37,7,65,38
ALDOA_232,69,63,65,58,67,222,203,114,126,87,106,107,110,461,298,322
ALDOC_233,7,3,2,0,0,5,1,0,5,3,4,0,0,0,0,0
ALG11_234,20,24,41,29,23,7,31,12,15,13,16,4,37,7,17,20
ALG8_238,12,20,12,11,0,0,12,6,0,4,1,2,0,0,0,0
ALPL_243,22,11,22,20,0,0,26,4,65,37,24,18,74,87,124,88
AMD1_247,116,130,144,105,185,98,197,209,182,125,92,87,261,405,373,265
AMDHD2_248,15,9,29,20,19,38,24,10,18,25,12,11,29,53,38,31
AMMECR1L_253,38,49,57,45,0,0,17,48,17,18,19,15,16,13,34,34
AMY2A_256,359,607,617,532,300,132,793,1148,199,244,241,203,250,13,100,45
AMZ2P1_262,24,37,36,17,0,11,8,20,1,7,4,6,5,0,13,0
ANAPC1_265,4,3,4,2,18,0,0,28,6,3,5,11,21,6,6,6
ANAPC11_266,9,4,8,4,34,7,14,0,11,8,1,1,13,0,19,0
ANAPC5_271,24,10,25,9,7,18,26,9,37,33,13,11,82,0,42,44
ANKRD10_277,40,39,31,23,83,115,75,89,57,51,37,36,97,126,97,125
ANKRD17_280,99,114,153,117,64,46,105,81,44,46,52,92,52,15,27,10
ANKRD20A11P_282,4,3,7,3,0,0,0,0,5,7,5,1,0,0,1,0
ANKRD20A17P_283,1224,2041,1598,1775,312,418,1705,2581,731,1017,1211,958,590,1,104,2
ANKRD27_287,35,39,30,33,17,8,23,24,33,22,22,17,11,10,30,13
ANKRD36B_290,211,343,302,287,155,38,231,391,86,126,155,153,128,6,22,0
ANO10_292,9,8,16,14,16,17,2,9,17,13,14,9,6,63,51,30
ANXA5_309,16,31,38,19,12,10,28,59,37,17,27,21,41,16,52,51
ANXA7_312,54,42,65,29,136,25,87,138,111,63,57,32,118,56,131,48
AP1G1_316,63,79,105,68,15,21,61,76,16,35,38,18,12,0,0,0
AP1S1_318,14,8,16,13,0,18,25,17,13,5,11,5,32,32,19,11
AP2A2_321,22,7,22,13,8,5,17,22,13,12,21,13,38,16,33,32
AP2M1_322,20,3,11,15,38,19,18,37,21,9,7,4,5,21,11,13
AP3B1_327,17,16,22,18,46,3,33,38,37,38,42,31,98,7,58,13
AP4M1_331,8,0,3,5,12,0,10,7,5,4,4,4,0,0,8,6
APBA3_333,3,1,0,1,0,0,0,0,4,1,1,0,10,0,3,0
APBB2_336,9,22,20,8,0,0,0,0,0,3,2,5,0,0,1,0
APLN_345,9,26,23,23,0,0,0,3,0,5,6,4,0,0,0,0
APOA4_350,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
APOBEC3G_355,26,11,30,17,0,5,13,18,81,40,45,35,52,23,60,81
APOC3_356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
APOD_357,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
APOE_358,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
APOO_361,41,32,58,31,16,13,10,48,11,17,17,14,5,0,7,8
COA8_364,7,7,7,2,9,14,9,0,14,10,8,3,22,10,7,11
APP_367,38,50,73,34,47,23,37,58,71,48,46,31,79,34,74,0
APPBP2_370,43,46,46,42,84,46,57,70,41,22,27,20,123,41,35,72
APPL1_371,36,58,63,41,0,0,45,54,14,17,18,13,0,13,4,0
AQP3_373,11,13,9,7,9,0,10,12,6,3,4,1,10,6,0,26
AQP6_375,25,19,33,18,13,0,9,6,2,15,0,4,0,0,0,0
AQP9_378,94,94,117,91,67,33,71,20,318,224,210,145,564,185,552,421
AREG_385,8,4,6,5,0,8,3,0,0,2,3,2,0,0,0,0
ARF1_388,67,52,48,48,217,521,347,149,57,37,38,30,101,357,153,238
ARF5_392,16,7,40,18,36,69,83,38,33,18,19,13,25,32,66,48
ARFGAP1_393,11,14,18,9,0,37,18,16,12,4,11,4,14,41,17,12
ARFGAP3_396,11,16,21,21,60,56,23,45,27,36,13,12,70,60,68,86
ARFGEF2_402,39,22,47,39,46,133,97,106,28,33,32,15,45,102,113,48
ARFIP2_405,10,20,8,6,20,0,0,5,12,10,8,3,9,17,14,12
ARGLU1_410,46,74,66,67,13,14,44,48,31,50,24,26,30,0,4,0
ARHGAP1_411,8,14,15,7,0,15,7,23,14,5,2,9,25,6,13,11
ARHGAP36_416,4,2,11,3,0,0,3,2,1,0,0,0,0,0,0,0
ARHGEF12_420,177,175,181,162,237,307,226,321,104,88,78,57,130,200,185,148
ARHGEF2_423,144,95,168,132,183,438,409,217,192,141,105,94,327,631,522,627
ARHGEF6_426,21,73,60,45,21,9,37,68,8,17,30,19,121,17,19,1
ARHGEF9_427,1,2,8,2,11,0,6,9,1,0,2,0,0,0,0,0
ARID4B_430,23,17,29,26,43,30,24,46,59,42,48,34,96,47,148,85
ARL6IP4_442,13,14,27,8,15,22,17,13,32,19,15,12,57,22,50,39
ARL6IP5_445,71,55,89,79,85,200,256,137,107,79,88,61,134,90,242,236
ARPC4_458,9,9,14,12,8,47,48,28,14,7,4,13,96,84,35,66
ARPC5_462,57,54,74,50,134,155,178,99,36,38,45,43,85,180,204,350
ARPC5L_463,25,28,48,16,96,40,46,26,32,15,28,11,64,38,88,94
ARPP19_466,32,40,59,42,73,58,84,84,30,26,28,25,64,91,50,74
ARSL_468,2,4,9,1,0,0,0,16,0,0,1,0,0,0,0,0
ASAH1_474,120,76,111,86,13,13,121,39,335,198,197,136,485,53,404,380
ASB9_475,17,33,38,28,3,0,17,34,3,7,16,7,9,0,0,0
ASCC3_480,33,61,68,60,0,0,40,34,26,45,48,37,26,6,29,8
GET3_482,9,6,12,4,46,5,14,33,28,8,7,8,31,0,16,0
ASPM_487,109,118,162,136,19,20,77,115,68,72,112,98,76,0,0,0
ATF1_497,56,45,52,40,53,29,35,73,56,38,29,24,68,27,75,42
ATF3_499,9,36,20,14,0,0,16,10,2,5,6,5,3,0,0,0
ATF5_501,17,7,20,16,67,28,11,17,20,26,17,11,9,16,32,34
ATF6_502,41,46,52,39,78,27,58,88,41,41,31,39,55,40,33,55
ATF6B_503,40,32,46,21,71,176,162,86,74,52,64,48,46,277,193,130
ATG3_504,23,18,30,16,26,69,45,50,52,33,32,19,95,81,92,124
ATIC_507,14,9,14,8,11,15,50,46,4,7,2,6,10,4,25,12
ATMIN_513,111,259,259,195,136,40,94,178,48,75,78,70,77,28,62,39
ATP10D_516,11,5,6,16,9,0,11,13,27,20,21,9,24,30,50,31
ATP11B_517,33,25,40,39,53,13,31,68,60,43,44,20,112,35,54,71
ATP1B1_527,21,24,22,28,0,0,2,21,8,13,8,5,0,0,8,0
ATP2C1_533,111,162,154,136,134,83,184,229,113,101,67,101,111,37,106,68
ATP5F1C_537,13,1,11,3,29,6,28,29,55,37,24,17,111,18,79,37
ATP5F1D_538,21,12,21,16,31,15,34,51,39,16,12,6,15,33,51,15
ATP5MC2_543,62,52,97,44,50,71,103,120,93,75,46,31,193,102,166,102
ATP5MC3_546,47,91,77,48,57,0,57,108,65,75,52,45,97,51,64,41
ATP5PD_547,86,88,142,89,134,67,132,136,65,58,51,41,69,91,102,135
ATP5ME_548,40,41,49,59,55,18,67,78,60,55,65,29,148,14,99,54
ATP5MF_549,16,16,17,11,55,62,43,60,32,32,19,17,41,98,55,53
PTCD1_550,7,8,5,7,2,7,2,0,0,4,0,3,6,0,0,0
ATP5PO_552,57,74,124,81,68,153,130,110,109,69,67,62,87,209,117,180
DMAC2L_554,19,7,13,8,0,13,11,16,19,11,14,7,24,0,25,29
ATP6V0A1_558,0,1,1,0,0,4,0,0,0,1,0,0,3,14,4,0
ATP6V0B_562,40,35,48,48,10,59,70,30,57,46,24,20,88,45,133,61
ATP6V0C_563,253,191,270,205,612,987,737,477,173,104,134,91,271,664,453,742
ATP6V0D1_564,24,16,26,22,32,41,54,58,84,44,42,51,105,124,141,105
ATP6V1D_574,31,9,20,10,45,24,51,68,58,18,31,21,116,30,94,21
ATXN3_580,14,5,11,11,7,22,28,9,17,8,9,9,10,0,39,38
AURKA_586,2,2,6,1,43,7,7,10,10,10,2,2,21,11,12,6
AURKB_587,6,4,0,0,0,19,11,0,8,1,3,1,30,15,4,0
AZIN1_593,74,98,87,81,46,21,41,51,31,41,39,26,22,0,5,0
B2M_596,371,369,474,395,548,323,705,615,1355,939,895,666,2898,937,2345,2304
B3GALT5_597,4,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0
B3GAT1_598,7,9,14,9,0,0,0,0,1,2,1,0,0,0,13,0
B4GAT1_602,12,4,5,2,0,0,4,0,0,0,2,1,0,0,0,0
B4GALT1_603,16,11,16,7,0,22,5,8,2,3,6,2,0,20,20,17
B4GALT5_608,13,16,17,4,21,13,39,9,29,6,11,11,102,34,55,104
B4GALT7_611,21,17,30,18,34,49,88,53,37,22,19,33,8,102,32,45
BAAT_614,12,52,82,27,12,1,8,59,7,16,17,7,0,0,0,0
BACE1_615,15,45,58,26,31,0,9,31,2,7,15,2,6,0,0,0
BACE2_618,9,1,8,0,0,0,10,0,6,1,2,0,0,0,2,16
BAD_619,9,9,23,10,26,38,16,7,0,5,0,6,0,36,15,0
BAG3_629,18,22,23,17,27,34,24,4,15,9,8,11,11,13,33,26
BAG6_630,239,129,272,137,355,347,353,356,167,106,94,89,188,287,383,353
BAK1_631,13,7,12,6,22,31,0,6,4,2,1,0,0,0,12,0
BAMBI_634,37,45,57,36,0,14,42,2,19,28,9,17,8,6,23,22
BANF1_635,16,16,15,10,31,22,44,33,14,24,9,19,53,37,63,47
BBC3_640,6,4,4,2,64,10,14,0,18,10,10,2,14,12,26,0
BCAP31_644,69,19,82,50,65,97,84,90,114,60,81,43,100,127,166,179
BCAT2_651,4,1,1,2,0,0,5,4,2,3,0,2,7,0,9,0
BCL11B_654,5,5,16,9,9,0,23,23,7,3,4,3,28,11,14,0
BCL2_658,65,121,153,89,155,660,322,154,58,68,68,47,59,261,226,273
BCL2L1_660,5,0,3,2,0,0,0,25,7,4,2,2,0,0,7,0
BCL2L11_661,13,9,14,8,0,26,30,12,9,2,5,4,8,12,20,25
BCL2L11_663,18,16,16,7,17,0,3,4,24,8,11,11,39,0,49,24
BCL2L13_664,9,19,23,12,21,0,12,18,4,3,7,2,11,0,0,0
BCL2L2_665,9,4,14,6,0,32,12,16,5,3,5,4,7,16,7,0
BCL2L2-PABPN1_667,72,84,138,69,48,0,62,100,65,50,35,44,95,0,51,25
BCL3_668,6,4,3,7,31,34,10,10,3,6,5,6,28,133,36,116
BCL7B_670,13,9,19,4,0,36,29,0,11,12,3,2,18,8,33,1
BDH1_674,7,2,5,5,0,0,5,0,3,1,3,0,7,7,4,0
BDNF_679,10,14,11,7,0,0,5,7,2,0,7,3,0,0,0,0
BECN1_680,45,24,57,28,109,44,53,62,72,50,52,35,96,27,91,70
BHLHE40_689,39,25,39,33,42,107,113,52,44,34,30,20,46,81,79,69
BID_696,40,21,23,24,17,34,21,7,74,26,26,22,85,38,125,99
BIRC2_703,144,89,163,98,367,93,252,405,147,87,69,54,307,103,281,175
BIRC5_709,11,8,2,3,14,0,8,7,0,0,2,1,0,0,0,0
BLM_716,8,13,19,12,35,8,15,32,8,2,12,7,19,39,18,10
BLMH_719,42,77,96,55,53,47,44,90,15,19,16,32,35,47,60,49
BLNK_720,21,49,31,28,16,14,81,25,17,15,14,12,30,6,15,21
BLOC1S1_721,26,17,25,20,39,35,39,46,55,24,33,21,57,48,51,90
BLOC1S4_725,22,15,11,14,5,31,12,23,4,6,5,6,6,29,18,9
BLVRA_731,58,44,62,46,55,237,96,64,38,22,16,21,15,225,129,160
BMI1_732,19,21,17,17,14,0,18,57,7,10,9,7,20,12,1,0
BMP4_737,13,1,7,4,0,0,0,0,5,7,3,0,0,0,0,0
BNIP3L_746,952,1000,1107,971,3209,2302,3111,3468,397,333,281,280,1070,445,1185,1252
BOP1_750,1,2,0,0,0,0,7,0,0,0,1,0,0,0,0,0
BRCA1_757,8,6,9,1,0,1,0,0,2,1,2,2,0,0,0,0
BRD4_767,319,236,349,310,362,347,448,399,167,188,168,155,196,329,554,456
BRI3BP_771,6,9,5,3,0,26,2,10,5,1,2,1,0,9,15,0
BSG_778,446,420,517,362,625,737,874,616,316,218,184,161,454,446,549,640
BTBD1_781,49,41,57,44,51,15,64,89,81,48,46,46,72,9,144,52
BTBD3_785,21,28,16,26,0,0,0,31,8,5,14,8,0,0,0,11
BTK_795,19,14,18,11,0,7,24,30,14,7,16,7,36,0,40,7
BTN3A2_796,67,50,85,42,50,46,104,131,81,62,66,41,163,129,131,174
BUB1B_800,50,86,76,78,18,6,25,95,9,15,20,18,16,0,0,0
BYSL_801,7,0,1,1,0,0,1,0,3,0,3,1,0,0,0,0
BZW2_805,5,18,14,5,0,0,7,18,4,3,4,4,9,0,19,1
RPP38-DT_808,18,22,32,11,0,0,20,13,3,4,1,1,0,0,0,0
BORCS7_812,37,45,40,52,44,20,45,38,22,27,22,20,26,25,27,54
C11orf68_818,20,15,17,14,0,23,24,34,28,13,7,12,61,18,54,102
TMEM263_820,19,33,74,50,68,35,41,77,7,13,15,13,11,14,52,14
C12orf29_822,78,134,120,126,21,21,78,106,50,69,60,65,33,0,16,0
TIGAR_823,3,1,8,5,0,0,22,11,12,8,3,8,9,0,7,7
C12orf57_825,14,1,9,8,0,31,10,17,17,8,5,1,56,0,33,0
C14orf119_831,51,61,109,60,96,85,114,112,103,82,73,56,135,52,137,164
GON7_834,12,16,12,4,27,94,13,36,9,5,2,2,6,38,15,63
RTRAF_836,57,56,67,67,146,59,97,126,86,57,42,44,76,91,43,116
CFAP20_840,9,11,10,4,0,54,43,15,9,8,11,9,31,18,32,35
C18orf32_845,37,61,79,39,20,0,42,38,18,16,11,10,18,9,5,8
C19orf38_848,14,14,8,8,16,18,33,7,23,17,26,12,68,29,46,44
TRIR_850,65,66,56,56,52,226,185,147,91,67,64,48,117,157,149,128
MCEMP1_855,14,19,19,19,0,37,26,6,46,42,23,22,42,87,65,75
MICOS13_857,3,3,1,0,0,6,6,0,3,3,1,0,4,11,0,18
C19orf73_858,3,3,3,0,0,0,0,0,0,0,0,1,0,11,0,0
C1D_859,120,144,232,128,121,61,184,241,80,99,58,47,81,66,80,72
C1orf131_862,54,75,89,55,49,13,89,78,35,34,23,28,33,68,46,77
C1orf43_866,58,39,60,54,169,64,161,90,63,55,50,36,123,162,186,224
C1QA_867,8,3,3,3,0,0,4,10,0,0,0,1,0,0,0,0
C1R_871,4,5,0,0,0,0,0,0,7,3,4,1,0,0,0,10
CFB_872,6,1,0,0,0,0,2,5,2,3,0,2,0,0,1,0
C2CD2_875,2,1,11,2,0,0,0,11,5,0,4,3,18,9,2,0
C2CD2L_878,9,3,10,4,23,17,11,0,3,1,0,2,22,0,0,0
C2CD5_880,88,130,136,115,0,23,47,164,52,41,72,46,77,29,70,28
C2orf27B_881,10,2,11,8,0,0,0,0,1,7,3,2,0,0,0,0
C2orf76_885,11,2,3,9,0,0,9,0,5,4,7,0,0,0,0,10
C3_886,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
C5_890,28,47,38,34,13,0,17,57,9,14,18,14,31,6,3,0
C6orf120_898,50,39,45,33,42,23,41,37,64,44,41,35,54,37,69,137
SNHG32_901,106,112,125,96,207,189,170,167,159,119,97,74,212,253,278,252
C6orf62_903,131,98,155,92,165,47,191,194,211,111,128,96,274,111,313,297
C7orf61_904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA12_907,8,2,3,6,0,0,0,0,0,0,1,1,0,0,0,0
CA2_908,42,39,66,52,176,135,159,138,58,41,40,23,135,168,128,118
CA9_915,8,2,6,4,0,0,10,0,2,1,0,1,0,0,0,0
CAB39_918,86,65,82,63,40,44,205,147,191,134,133,104,361,103,343,289
CACNA1H_920,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
CACNA2D2_921,4,0,1,0,0,0,4,0,2,1,0,0,0,0,0,0
CACYBP_926,29,41,54,28,0,7,33,49,5,11,15,10,7,0,0,0
CALM1_934,84,97,62,65,39,306,134,55,31,33,29,22,12,169,114,163
CALM2_937,78,74,118,80,156,121,256,220,73,65,71,60,88,193,254,290
CALM3_940,47,58,128,63,74,224,163,75,27,23,19,22,100,196,114,158
CALR_943,77,126,103,120,106,486,303,193,93,78,83,59,148,222,215,332
CALU_944,28,66,81,48,13,7,34,98,8,15,6,11,14,0,8,0
CAMK2A_948,10,14,9,4,4,0,13,0,0,3,4,1,0,0,0,0
CAMSAP2_955,62,102,115,87,15,18,82,138,33,55,49,34,11,0,9,0
CANT1_956,10,10,19,10,13,13,34,21,40,24,19,15,53,109,30,57
CAPN1_957,67,15,59,26,84,89,73,106,31,28,27,28,59,53,73,111
CAPNS1_958,31,22,39,36,63,46,64,69,55,44,31,41,30,141,166,106
CASC3_973,38,65,78,50,0,27,11,29,13,13,26,15,44,33,28,22
CASK_976,13,13,15,9,47,13,24,39,16,10,7,6,58,20,28,39
CASP1_977,142,215,204,173,1,5,84,95,156,183,173,135,293,39,183,74
CASP10_978,37,108,135,75,16,31,45,71,16,24,29,8,31,4,15,8
CASP10_979,19,9,24,18,71,20,55,52,34,24,9,12,41,0,18,17
CASP2_982,38,60,80,50,35,53,89,93,76,59,43,38,81,107,129,100
CASP3_983,29,28,33,19,36,48,54,39,61,32,30,11,88,39,68,71
CASP7_985,35,54,61,47,0,6,81,62,14,18,22,9,31,7,53,11
CASP8_989,163,161,206,150,448,183,495,341,258,200,179,148,470,271,581,774
CASP9_992,12,9,16,18,52,31,42,23,23,16,8,5,25,18,34,47
CAT_999,99,62,130,117,204,218,232,263,143,74,88,99,140,139,257,151
CBLB_1005,20,30,48,17,49,28,36,39,11,14,18,16,8,0,44,17
CBR1_1006,34,18,29,28,14,64,85,73,28,24,33,28,67,79,71,22
CBR3_1007,13,7,13,8,0,24,7,14,6,1,0,2,0,0,0,0
CBWD1_1009,307,348,385,409,232,318,376,597,369,291,272,212,448,353,703,735
CBX6_1013,16,16,24,12,11,36,44,12,35,15,24,12,16,22,63,99
CFAP65_1017,19,23,25,19,12,22,9,27,0,1,2,5,0,0,0,0
CCDC113_1018,15,2,2,1,0,0,0,0,1,1,0,1,0,0,0,0
CCDC130_1019,31,10,38,18,58,60,38,35,41,23,25,20,52,52,60,71
CCDC186_1024,4,5,11,3,0,0,8,3,1,1,1,6,0,7,0,0
CCDC63_1025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCDC85B_1030,11,11,13,12,0,156,60,18,4,4,2,3,13,32,6,27
CCDC86_1031,7,4,7,2,0,4,0,0,3,0,5,0,5,0,0,0
CCDC92_1033,122,111,156,120,214,305,209,139,100,68,60,57,86,227,187,201
CCL2_1039,7,4,10,2,0,0,0,0,3,4,1,3,0,0,0,0
CCL3_1043,8,6,13,7,0,15,9,7,13,3,9,4,17,22,29,16
CCL4_1045,42,41,63,30,0,11,0,34,6,13,14,13,8,11,10,0
CCNA2_1050,53,100,74,72,45,0,73,79,33,37,32,32,8,0,0,24
CCNB1_1053,43,40,55,51,45,0,45,49,7,13,14,14,0,0,0,0
CCNB1IP1_1054,26,39,49,19,15,15,12,56,17,16,21,13,37,0,13,6
CCNB2_1057,50,83,112,69,34,29,59,137,15,27,18,14,0,0,23,0
CCNB3_1058,10,36,33,17,17,7,0,23,2,4,8,1,0,0,0,0
CCND1_1062,2,2,7,1,20,2,0,3,3,1,1,1,11,6,0,0
CCND2_1063,18,29,22,16,19,5,5,44,19,12,6,9,46,0,6,10
CCNDBP1_1069,136,102,150,80,405,44,239,314,244,134,107,92,382,72,254,197
CCNE1_1070,10,4,10,4,0,0,0,0,0,0,0,1,0,0,0,0
CCNE2_1073,21,20,27,18,0,0,32,33,8,5,12,5,0,0,0,0
CCNF_1076,2,2,5,2,0,0,25,0,2,3,2,1,0,0,0,20
CCNG1_1079,46,67,63,57,29,11,39,194,34,37,38,30,67,4,51,10
CCNL1_1085,32,27,48,37,42,27,48,60,51,33,29,14,114,18,75,20
CCNL2_1086,68,49,97,68,328,128,184,131,137,110,81,77,139,160,318,240
CCNO_1087,3,9,6,2,0,0,0,0,1,5,0,1,0,0,0,0
CCRL2_1096,11,25,45,17,0,0,0,9,7,5,8,0,18,0,5,0
CCT2_1098,23,19,30,25,41,19,36,22,27,14,10,5,41,16,19,9
CCT3_1099,17,5,7,5,65,39,57,15,13,8,10,7,9,26,31,0
CD226_1109,29,34,41,28,41,44,61,65,78,52,45,40,91,111,124,141
CD2BP2_1115,6,6,11,6,47,37,53,8,8,5,1,3,40,7,23,40
CD320_1116,4,3,6,1,0,3,2,6,13,8,1,2,15,30,9,0
CD3D_1127,72,87,76,80,174,102,117,133,138,93,95,68,222,170,208,181
CD4_1128,14,4,11,6,0,3,4,6,11,12,11,0,0,6,7,6
CD40_1129,5,6,3,1,0,0,1,3,7,1,4,0,6,9,0,20
CD44_1134,158,140,191,162,324,464,465,317,213,141,156,140,295,526,439,619
CD46_1137,121,135,165,133,173,238,244,142,193,153,176,120,276,326,552,609
CD55_1141,34,51,64,44,20,34,67,58,231,83,76,64,259,63,183,71
CD58_1144,84,79,80,70,103,33,118,192,214,149,137,89,285,147,362,254
CD69_1145,45,64,62,59,39,29,62,117,25,28,28,32,9,0,0,15
CD74_1146,24,13,25,12,21,42,111,42,51,35,37,34,62,79,84,108
CD8A_1152,7,49,29,28,14,19,21,67,49,22,17,17,62,30,49,64
ADGRE5_1154,42,33,61,31,22,50,107,50,193,117,91,90,190,211,340,190
