GeneID,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
PLCB2_5180,29,17,29,18,50,125,91,63,72,34,39,36,238,175,166,123
PLCB3_5183,6,2,2,3,0,0,3,16,7,1,3,0,19,13,15,0
PLCG1_5184,4,3,9,5,12,12,14,17,3,2,3,1,8,0,8,18
PLD2_5187,9,2,5,3,19,8,4,0,9,12,10,3,16,8,12,4
PLEKHA4_5189,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PLEKHJ1_5191,9,3,4,1,12,9,6,8,7,8,6,7,21,6,17,15
PLGLB2_5196,67,86,104,66,20,57,30,183,15,26,27,34,0,34,11,20
PLIN1_5199,3,1,2,0,0,0,0,0,2,0,3,1,0,0,0,0
PLK1_5203,8,4,4,6,17,12,5,9,7,5,2,5,0,13,1,0
PLOD3_5204,4,4,6,3,6,20,0,9,2,6,4,4,1,5,12,7
PLP1_5207,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0
PLP2_5208,14,15,37,18,25,36,35,76,93,63,41,41,229,68,176,70
PLS1_5211,0,0,0,0,0,0,0,0,0,1,1,0,9,0,4,0
PLSCR1_5214,377,376,463,446,101,112,249,248,807,584,540,411,1014,901,1207,1252
PLSCR3_5215,21,8,26,6,7,14,23,15,22,14,12,8,21,17,36,30
PMAIP1_5221,10,7,4,11,11,57,17,8,12,3,2,1,10,26,31,37
PMM2_5224,19,7,16,7,35,8,12,20,7,9,10,6,3,0,19,0
PMS2_5227,18,14,16,21,46,96,75,68,26,24,17,20,28,96,58,47
PNKP_5229,60,51,88,56,133,182,208,69,72,73,67,56,83,221,198,168
PNN_5230,42,63,69,37,29,0,54,67,75,45,43,24,33,0,51,47
PNPLA8_5232,32,33,36,28,5,8,44,34,12,4,2,5,6,0,4,15
POGZ_5241,69,98,138,97,121,49,123,131,56,50,42,50,66,88,143,129
POLB_5242,36,22,37,29,47,59,39,41,51,32,35,27,49,95,86,107
POLD4_5245,8,3,10,1,8,40,13,13,2,4,4,7,26,18,1,20
POLDIP2_5246,9,12,11,5,0,0,6,9,5,10,4,2,4,2,2,20
POLG2_5253,8,0,6,4,0,9,4,5,9,2,4,0,55,23,27,18
POLR1C_5255,22,11,26,16,38,11,29,28,10,9,8,10,14,15,24,12
POLR2E_5259,9,1,11,6,0,0,0,0,7,4,0,0,26,0,0,0
POLR2I_5260,8,10,10,9,31,28,12,31,10,6,5,11,36,11,26,34
POLR2K_5263,48,59,64,51,85,172,191,99,83,57,61,28,101,156,116,139
POMZP3_5273,13,4,3,2,0,7,2,0,2,3,0,0,23,0,3,0
PON2_5277,13,9,8,5,0,1,9,30,0,3,2,1,6,11,4,12
POP1_5278,10,20,26,10,0,0,14,12,1,3,6,4,0,0,9,0
POP4_5281,0,1,1,1,0,0,0,7,5,2,3,4,9,0,3,3
POP5_5282,20,11,18,12,5,0,3,13,6,4,5,4,4,0,17,0
POR_5283,20,22,29,23,49,68,98,45,62,36,24,25,48,140,105,159
POT1_5287,14,2,14,2,0,0,12,3,5,5,1,5,13,8,8,11
POU2F1_5290,16,18,25,27,49,11,27,40,17,21,18,21,34,25,18,21
POU5F1_5291,16,4,12,2,15,0,0,0,9,2,3,3,0,0,7,0
POU5F1B_5294,2,5,13,1,0,0,1,0,0,2,2,2,0,0,0,0
AC010442.1_5295,9,7,10,5,15,29,3,6,7,10,3,8,8,10,7,29
PPAN_5296,5,2,9,0,0,5,0,4,6,4,7,1,0,0,16,9
PLPP3_5299,7,12,8,4,0,0,2,9,0,0,0,2,0,0,0,0
PPARA_5300,6,9,13,6,0,0,0,12,0,4,1,4,5,0,0,0
PPIB_5318,5,7,6,5,0,15,5,0,9,3,3,0,8,9,9,19
PPIC_5321,6,8,17,11,0,0,8,16,4,4,3,1,0,0,0,0
PPID_5324,9,3,11,6,0,0,24,17,4,6,5,2,11,0,17,14
PPIE_5325,19,6,20,14,62,15,53,16,32,22,11,12,57,37,28,70
PPIF_5326,16,8,20,7,0,19,13,0,13,15,10,13,30,39,25,64
PPIL3_5331,31,31,29,16,71,11,45,104,27,12,16,10,28,10,33,20
PPIL6_5334,20,40,38,20,24,15,20,16,9,11,6,5,0,0,0,0
PPP1R13B_5339,19,21,20,9,33,94,46,20,10,14,8,6,12,38,32,10
PPP1R15B_5345,43,52,59,54,19,43,90,76,73,52,48,54,80,73,94,56
PPP1R21_5349,79,95,132,80,131,5,124,252,55,65,69,46,63,0,65,47
PPP1R3C_5353,19,19,35,20,0,0,24,8,5,0,2,6,0,0,0,0
PPP2CA_5356,154,129,159,111,113,155,234,228,100,80,69,51,41,159,214,159
PPP2R1A_5357,16,4,10,6,25,20,45,11,12,4,7,4,19,31,12,22
PPP2R3C_5360,22,18,24,15,56,0,19,49,12,15,7,9,38,5,12,15
PTPA_5361,6,2,1,0,0,6,8,9,1,1,0,0,0,0,0,0
PPP2R5A_5364,5,1,5,7,0,0,3,8,21,17,13,17,74,20,49,33
PPP2R5E_5368,94,139,131,120,56,6,30,78,34,51,72,67,67,0,28,7
PPWD1_5377,102,104,103,97,75,19,120,140,128,73,75,79,187,57,120,70
PRCC_5383,9,8,5,5,19,0,9,0,12,4,4,9,54,0,18,75
PRDM8_5390,10,1,2,9,0,6,3,0,14,8,2,3,17,0,17,40
PRDX1_5393,77,214,214,133,33,65,154,216,11,64,78,46,34,28,27,60
PRDX4_5397,16,11,21,17,8,36,94,36,22,16,19,10,32,58,45,19
PRKACA_5404,86,63,127,81,45,104,173,136,137,95,76,72,92,193,272,121
PRKACB_5409,46,22,49,18,122,0,56,83,81,36,40,37,164,0,70,81
PRKACG_5410,4,2,4,3,0,0,0,0,1,0,3,1,0,0,0,0
PRKAG1_5413,6,10,10,11,37,29,11,16,17,18,22,8,9,49,23,48
PRKAG2_5416,3,2,4,8,27,12,7,11,8,10,3,4,28,2,16,20
PRKCA_5422,13,9,10,10,13,11,19,16,6,8,7,3,11,0,16,4
PRKCD_5426,65,35,67,57,30,26,71,75,235,178,128,91,195,89,227,207
PRKCH_5429,48,106,114,68,41,0,51,53,40,45,25,20,31,25,101,54
PRKCQ_5430,24,20,20,13,11,0,10,11,14,4,11,7,0,12,20,34
PRKX_5435,23,21,25,17,28,33,42,23,21,11,9,8,19,0,15,8
PRNP_5442,12,28,17,17,1,0,18,24,12,9,7,7,28,26,11,19
PROC_5443,4,5,6,3,0,0,5,0,2,3,6,2,0,5,12,6
PROK2_5447,20,20,40,19,23,0,0,32,3,8,4,7,8,0,2,0
PROS1_5451,77,158,167,104,11,35,154,145,30,50,51,36,38,20,22,12
PRPF31_5453,10,3,4,0,0,0,17,10,3,6,0,3,0,9,10,0
PRPF38A_5456,37,75,76,55,65,46,67,64,22,15,29,21,15,11,45,24
PRPF38B_5459,81,117,140,111,121,25,118,176,154,131,125,98,137,27,182,118
PRPF39_5460,23,26,33,24,34,0,28,64,16,10,12,9,19,0,21,22
PRPF4_5463,26,25,33,27,16,2,22,60,11,7,8,5,18,12,16,6
PRPS1_5465,25,16,20,18,18,16,23,8,35,18,12,11,29,7,33,19
PRR11_5468,25,29,59,28,21,13,43,68,15,12,12,9,17,0,5,11
PRR15L_5469,1,1,7,1,0,0,3,0,0,2,3,2,0,0,0,0
PRR5_5472,27,9,22,18,63,46,30,34,23,18,14,10,25,26,52,22
PRR7_5473,2,5,3,2,0,0,0,0,7,3,0,3,9,9,4,25
PRSS23_5481,11,3,9,1,0,0,22,0,5,0,4,1,0,0,0,11
PRUNE1_5487,34,22,38,31,35,26,66,6,33,22,17,21,46,47,79,35
PSAP_5489,116,52,104,74,217,168,307,199,328,157,154,148,651,406,497,661
PSEN1_5495,54,39,57,53,79,27,29,65,130,95,94,71,184,40,183,140
PSENEN_5496,1,1,6,0,0,0,3,5,8,7,6,3,14,0,28,12
PSMA1_5501,7,16,14,9,9,0,4,9,27,5,9,8,22,0,4,25
PSMA7_5506,24,15,31,19,87,42,32,88,61,21,21,25,141,18,120,99
PSMB1_5507,81,98,137,81,53,43,99,95,104,73,56,49,39,126,107,90
PSMB10_5508,7,4,4,3,0,0,26,8,5,3,0,3,10,16,6,22
PSMB2_5510,18,23,25,11,33,0,29,24,13,2,0,1,0,0,3,0
PSMB3_5511,42,24,42,20,4,34,57,37,33,21,26,17,80,112,80,46
PSMB4_5513,59,60,70,49,115,126,144,116,70,53,40,34,98,148,116,229
PSMC3_5517,8,0,5,4,0,18,9,3,4,2,0,0,7,9,4,13
PSMC6_5518,41,48,72,43,19,8,31,93,26,15,32,17,35,51,55,0
PSMD10_5521,104,137,178,120,88,89,111,170,36,46,42,32,40,52,49,7
PSMD11_5524,25,46,74,30,16,25,33,60,28,11,18,16,24,20,29,38
PSMD14_5527,167,274,291,296,36,169,199,349,91,163,194,182,142,114,92,143
PSMD2_5528,11,3,11,11,9,6,15,17,5,3,4,3,21,11,13,7
PSMD9_5533,3,0,0,1,0,0,1,0,2,2,4,1,0,0,0,0
PSME1_5534,25,17,24,13,36,62,50,39,31,31,21,19,31,21,95,73
PSME2_5535,37,45,55,31,39,20,29,53,45,40,39,22,114,34,53,42
PSME3_5538,32,23,45,21,55,4,39,74,41,25,14,21,101,1,40,56
PSMF1_5541,703,570,670,591,2706,2454,2417,1726,445,310,269,231,1275,1135,1243,1915
PSMG1_5544,5,7,9,3,0,0,2,14,4,8,2,2,4,0,1,0
PSMG2_5545,12,7,12,6,16,0,10,14,4,1,0,1,0,0,0,0
PSRC1_5548,11,8,9,7,16,20,34,13,6,4,6,1,14,27,12,54
PTEN_5553,64,82,76,63,0,8,39,85,43,42,48,40,103,10,4,11
